Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3085],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / KISU / KISU / INDIAN OCEAN,,-8.38,-8.38,124.41,124.41,SUBAERIAL,,,s BUA [3085],NOT GIVEN [3085],,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE/CLINOPYROXENE [3085], HE3_HE4(R/R(A)) from OLIVINE/CLINOPYROXENE [3085]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,104872,
[3085],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN,,-7.55,-7.55,127.42,127.42,SUBAERIAL,,,s RO7B [3085],NOT GIVEN [3085],,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE/CLINOPYROXENE [3085], HE3_HE4(R/R(A)) from OLIVINE/CLINOPYROXENE [3085]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,104873,
[3085],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BANDA / PACIFIC OCEAN,,-4.52,-4.52,129.87,129.87,SUBAERIAL,,,s BA113A [3085],NOT GIVEN [3085],,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [3085], HE3_HE4(R/R(A)) from OLIVINE [3085]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,104874,
[3910],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN,,0.8,0.8,127.33,127.33,SUBAERIAL,,,s T7 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,251106.08200000002,5873.531999999999,,98758.2366,,,,70034.73,62750.659999999996,27378.016,,,9214.665,21662.2244,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9178,,,,256.4,16.6,,,,16.5,125.2,79.5,,,,,,24.91,356.7,26,97.7,5.1,,,,,,,,,,,,1.69,210.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70415,,18.5,,15.604,,38.629,,,,,,,,,,,,,,,11648-T7,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s TR1.2.1 [5178],"ANDESITE, BASALTIC [5178]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,260174.321,4914.588,,95212.2549,,,,61717.62,59177.159999999996,20322.448,1548.9160000000002,,9546.724999999999,25445.6951,1221.9788,,,,,,,,,,,,,,,,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,167,,,,,,37,51,17,,,,,37,664,27,83,4.5,,,,,,,,,,,,,737,25.6,46.9,,25,5.2,1.55,,0.73,,,,,2.45,0.36,2.1,,,,,,,,,,22,,5.5,1.8,0.512628,,,0.705449,,19.358,,15.718,,39.677,,,,,,,,,,,,,,,120443,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s TR1.2.2 [5178],"ANDESITE, BASALTIC [5178]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,262885.444,5154.324,,93571.5768,,,,60007.56,58533.92999999999,21106.399999999998,1394.0244,,10708.935,24258.7239,960.1262,,,,,,,,,,,,,,,,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,171,,,,,4,21,55,16,,,,,40,690,24,71,4.6,,,,,,,,,,,,,598,25,50,,25,,,,,,,,,,,,,,,,,,,,,14,,7,3,0.512624,,,0.705474,,19.325,,15.697,,39.574,,,,,,,,,,,,,,,120444,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s TR5.1.3 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,269336.047,4854.654,,92036.7489,,,,57053.82,53888.38,20201.84,1394.0244,,11705.115,24481.281,960.1262,,,,,,,,,,,,,,,,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,148,1.8,,,,4,19,52,17,,,,,43,684,24,76,4.2,,,,,,,,,,,,4.3,626,22.4,43.7,5.5,22.1,4.6,1.4,4.27,0.66,3.64,0.75,2.19,0.32,2.04,0.31,2.7,,,,,,,,,,15.2,,5.3,1.6,0.512543,,,0.705488,,19.327,,15.698,,39.572,,,,,,,,,,,,,,,120445,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / BESAR / BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s PB2.2 [5178],"ANDESITE, BASALTIC [5178]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,260034.09050000002,4674.852,,91084.09710000001,,,,63349.950000000004,57247.47,22252.176,1471.4702,,16270.94,23591.0526,1221.9788,,,,,,,,,,,,,,,,2400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,164,,,,,,9.5,54,15,,,,,52,815,23,110,7,,,,,,,,,,,,,1112,45.5,81,,30.9,6,1.65,,0.74,,,,,2.2,0.37,2.7,,,,,,,,,,14,,14.9,2.9,0.512654,,,0.705304,,19.351,,15.72,,39.714,,,,,,,,,,,,,,,120446,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / PURA BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s ME99AL19 [5178],"ANDESITE, BASALTIC [5178]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,260875.47350000002,5214.258,,91613.3481,,,,63816.33000000001,53888.38,22855.216,1471.4702,,15108.730000000001,24481.281,1047.4104,,,,,,,,,,,,,,,,5800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,174,1.1,,,,5,25,54,15,,,,,50,794,24,105,6,,,,,,,,,,,,2.6,1041,37.8,68.1,7.7,29.1,5.4,1.56,4.96,0.72,3.81,0.77,2.28,0.34,2.16,0.33,3.1,,,,,,,,,,15.5,,11.7,2.4,0.51264,,,0.705304,,19.281,,15.673,,39.51,,,,,,,,,,,,,,,120447,
[5178],CONVERGENT MARGIN,BANDA ARC / BANDA ARC / PURA BESAR / PACIFIC OCEAN,,-8,-8,124,124,SUBAERIAL,,,s ME99AL23 [5178],ANDESITE [5178],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5178] ,280881.6915,3835.776,,90607.7712,,,,46871.19,44954.63,16462.992,1239.1328,,22165.005,24629.6524,1178.3367,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,119,4.1,,,,5,23,58,17,,,,,65,768,22,132,7.1,,,,,,,,,,,,2,1504,56.5,96.4,10.1,34.2,5.7,1.68,4.98,0.67,3.53,0.7,2.05,1.92,2.08,0.31,3.5,,,,,,,,,,19.5,,18.1,3.5,0.512616,,,0.705438,,19.295,,15.695,,39.569,,,,,,,,,,,,,,,120448,
