Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/162 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,246011.04050000003,2397.36,,45250.96050000001,,77213.76,,,46741.38,92988.768,1394.0244,,3403.615,3264.1708,305.4947,,,,,,,,,,,,,,,,36800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,173,1370,,,,351,,,5,,,,,17,46,11,55,3,,,,,,,,,,,,,201,7.8,19,1.77,7.4,1.8,0.43,1.8,0.3,2.1,0.4,1.2,0.21,1.3,0.31,1.5,0.32,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,268341,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/175 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,250778.8775,2936.7659999999996,,65362.4985,,77493.52,,,48814.01,65791.66399999999,1394.0244,,10874.965,12240.6405,261.8526,,,,,,,,,,,,,,,,21300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,173,,,,,,,,,,,,,,96,13,66,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268342,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/177 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,250591.90350000001,2697.0299999999997,,58482.23550000001,,78612.56,,,48742.54,71641.152,1316.5786,,10957.980000000001,7566.9414,305.4947,,,,,,,,,,,,,,,,16299.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,165,996,,,,268,,,9,,,,,93,147,14,68,4,,,,,,,,,,,,,180,13,26,2.69,11,2.3,0.58,2.4,0.4,2.6,0.5,1.6,0.25,1.6,0.24,2,0.49,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,268343,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/185 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,249329.82900000003,2756.964,,56576.9319,,74276.28,,,45526.39,77189.12,1316.5786,,4233.765,10460.1837,305.4947,,,,,,,,,,,,,,,,34800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,173,,,,,,,,,,,,,,91,13,64,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268345,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/198 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,249703.77700000003,2936.7659999999996,,59487.8124,,77073.87999999999,,,44668.75,72002.976,1394.0244,,9463.71,10682.7408,305.4947,,,,,,,,,,,,,,,,17900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,179,,,,,,,,,,,,,,109,13,70,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268346,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/202 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,253676.97450000004,2936.7659999999996,,69120.1806,,63505.520000000004,,,53388.09,62595.552,1239.1328,,10044.815,11202.0407,218.21050000000002,,,,,,,,,,,,,,,,12500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,168,749,,,,227,,,10,,,,,51,94,13,79,4,,,,,,,,,,,,,211,13,25,2.72,10,2.3,0.61,2.5,0.4,2.4,0.5,1.5,0.24,1.5,0.24,2.3,1.87,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,268347,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/210 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,252040.95200000002,2756.964,,57423.7335,,75255.44,,,44597.28,77430.336,1316.5786,,11207.025000000001,6899.2701,261.8526,,,,,,,,,,,,,,,,26200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,174,,,,,,,,,,,,,,63,12,64,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268349,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/212 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,248628.6765,3116.5679999999998,,66526.85070000001,,75325.37999999999,,,54531.61,55962.111999999994,1239.1328,,9712.755,10534.3694,349.1368,,,,,,,,,,,,,,,,18500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,179,689,,,,176,,,11,,,,,78,83,15,76,5,,,,,,,,,,,,,203,14,28,3.05,12,2.5,0.67,2.9,0.5,2.8,0.6,1.8,0.29,1.7,0.27,2.3,0.78,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,268350,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/214 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,253162.796,3296.37,,69861.132,,83997.94,,,54531.61,55117.856,1316.5786,,7886.424999999999,11498.7835,392.77889999999996,,,,,,,,,,,,,,,,13700.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,184,500,,,,182,,,10,,,,,49,95,15,77,4,,,,,,,,,,,,,202,14,29,2.96,12,2.6,0.69,2.7,0.5,2.8,0.6,1.7,0.27,1.7,0.26,2.1,0.45,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,268351,
[9689],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BASTAR CRATON / SOUTHERN BASTAR CRATON / CHANDENAR-GADMIRI AREA / BENGPAL GROUP,,18.8,18.9,81.25,81.7,SUBAERIAL,,,s 97/216 [9689],BONINITE [9689],,,NEO [9689],ARCHEAN [9689],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9689] ,250638.647,2876.832,,59434.8873,,76234.6,,,47027.26,72183.888,1316.5786,,8052.455,9644.141,305.4947,,,,,,,,,,,,,,,,16800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,178,,,,,,,,,,,,,,85,13,69,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268352,
