,Harzb,Lherz,DM,EM,Granite,Rhyolite,Chondrite
La,0.1,0.15,0.17,1.1,0.2,1.5,1.5
Ce,0.11,0.17,0.27,1.15,0.21,1.51,1.51
Pr,0.12,0.19,0.37,1.2,0.22,1.52,1.52
Nd,0.13,0.21,0.47,1.25,0.23,1.53,1.53
Sm,0.15,0.25,0.67,1.35,0.25,1.55,1.55
Eu,0.16,0.27,0.77,1.4,0.26,1.56,1.56
Gd,0.17,0.29,0.87,1.45,0.27,1.57,1.57
Tb,0.18,0.31,0.97,1.5,0.28,1.58,1.58
Dy,0.19,0.33,1.07,1.55,0.29,1.59,1.59
Ho,0.2,0.35,1.17,1.6,0.3,1.6,1.6
Er,0.21,0.37,1.27,1.65,0.31,1.61,1.61
Tm,0.22,0.39,1.37,1.7,0.32,1.62,1.62
Yb,0.23,0.41,1.47,1.75,0.33,1.63,1.63
Lu,0.24,0.43,1.57,1.8,0.34,1.64,1.64
