,Harzb,Lherz,DM,MORB,Granite,Rhyolite,Chond,
La,0.01,2.853,0.023,4.13,45,20.199,0.28,in ppm
Ce,0.03,4.315,0.077,11.46,85,46.139,0.75,
Pr,Missing,0.381,0.013,1.84,9.5,4.486,0.098,
Nd,0.02,1.292,0.071,9.3,34,16.209,0.5,
Sm,0.006,0.241,0,2.96,5.5,3.251,0.17,
Eu,0.001,0.087,0.011,1.13,1.49,0.873,0.059,
Gd,0.006,0.31,0.04,4.04,3.68,2.558,0.23,
Tb,0.001,0.056,0.008,0.68,0.46,0.331,0.039,
Dy,0.009,0.411,0.053,4.7,2.55,1.308,0.27,
Ho,0.002,0.09,0.012,0.93,0.46,0.274,0.059,
Er,0.009,0.282,0.037,3,1.15,0.731,0.18,
Tm,0.002,0.044,Missing,0.47,0.16,0.157,0.029,
Yb,0.018,0.291,0.04,2.72,1.1,0.684,0.18,
Lu,0.004,0.048,0.006,0.41,0.19,0.161,0.029,
