 
Weight percent  	      Group : 210830        	  Sample : 210830_0013_QNT  	 Page 	  1 	 
 
   No. 	   SiO2  	   TiO2  	   Al2O3 	   FeO   	   MnO   	   MgO   	   CaO   	   Na2O  	   K2O   	   P2O5  	   Cr2O3 	   NiO   	  Total  	Comment  
    1  	 57.2700 	  1.6275 	 17.9100 	  6.4200 	  0.1614 	  2.2800 	  3.4600 	  4.4600 	  5.4500 	  0.8939 	  0.0026 	  0.0000 	 99.9354 	GProbe Mitte Grid 010x011 Grid 020x021 
    2  	 57.2800 	  1.5939 	 18.0100 	  6.4400 	  0.1372 	  2.3100 	  3.4900 	  4.4300 	  5.4300 	  0.8622 	  0.0000 	  0.0070 	 99.9903 	GProbe Mitte Grid 010x011 Grid 020x021 
    4  	 57.1600 	  1.6335 	 18.0300 	  6.4500 	  0.1535 	  2.3000 	  3.4800 	  4.4700 	  5.4300 	  0.9481 	  0.0109 	  0.0163 	100.0823 	GProbe Mitte Grid 010x011 Grid 020x021 
    5  	 57.3100 	  1.6235 	 17.9800 	  6.4300 	  0.1502 	  2.2700 	  3.4800 	  4.3800 	  5.4300 	  0.9043 	  0.0000 	  0.0000 	 99.9580 	GProbe Mitte Grid 010x011 Grid 020x021 
    7  	 57.3900 	  1.6314 	 18.0800 	  6.5100 	  0.1466 	  2.2900 	  3.5100 	  4.4000 	  5.4400 	  0.8663 	  0.0161 	  0.0000 	100.2804 	GProbe Mitte Grid 010x011 Grid 020x021 
    8  	 57.5300 	  1.6614 	 18.0300 	  6.5600 	  0.1480 	  2.3200 	  3.5200 	  4.4100 	  5.4400 	  0.9302 	  0.0072 	  0.0015 	100.5583 	GProbe Mitte Grid 010x011 Grid 020x021 
   10  	 57.2000 	  1.6437 	 18.0500 	  6.5300 	  0.1620 	  2.2900 	  3.5200 	  4.4200 	  5.3900 	  0.8507 	  0.0000 	  0.0000 	100.0563 	GProbe Mitte Grid 010x011 Grid 020x021 
   11  	 57.3700 	  1.6387 	 18.0500 	  6.4500 	  0.1508 	  2.2900 	  3.5100 	  4.3900 	  5.3900 	  0.9069 	  0.0000 	  0.0000 	100.1463 	GProbe Mitte Grid 010x011 Grid 020x021 
   13  	 57.0500 	  1.6406 	 18.0400 	  6.4900 	  0.1669 	  2.3000 	  3.4900 	  4.4000 	  5.4300 	  0.9083 	  0.0044 	  0.0000 	 99.9203 	GProbe Mitte Grid 010x011 Grid 020x021 
   14  	 57.2800 	  1.6365 	 18.0200 	  6.4900 	  0.1601 	  2.3000 	  3.4900 	  4.4300 	  5.4000 	  0.8742 	  0.0000 	  0.0000 	100.0807 	GProbe Mitte Grid 010x011 Grid 020x021 
   16  	 57.3800 	  1.6531 	 18.0800 	  6.4000 	  0.1599 	  2.3000 	  3.5200 	  4.4300 	  5.4300 	  0.8913 	  0.0138 	  0.0000 	100.2580 	GProbe Mitte Grid 010x011 Grid 020x021 
   17  	 57.6400 	  1.6367 	 18.0700 	  6.4800 	  0.1957 	  2.3100 	  3.4800 	  4.4000 	  5.4400 	  0.9170 	  0.0000 	  0.0011 	100.5704 	GProbe Mitte Grid 010x011 Grid 020x021 
   19  	 57.4900 	  1.5983 	 18.0600 	  6.5200 	  0.1901 	  2.3000 	  3.5000 	  4.4500 	  5.4000 	  0.8760 	  0.0000 	  0.0000 	100.3843 	GProbe Mitte Grid 010x011 Grid 020x021 
   20  	 57.2700 	  1.6521 	 17.9700 	  6.5900 	  0.1547 	  2.2100 	  3.5400 	  4.3800 	  5.4100 	  0.8971 	  0.0000 	  0.0072 	100.0811 	GProbe Mitte Grid 010x011 Grid 020x021 
   22  	 57.6700 	  1.6239 	 18.0800 	  6.4700 	  0.1673 	  2.3000 	  3.5300 	  4.4100 	  5.4500 	  0.9082 	  0.0081 	  0.0000 	100.6175 	GProbe Mitte Grid 010x011 Grid 020x021 
   23  	 57.6600 	  1.6396 	 18.0400 	  6.5500 	  0.1404 	  2.2800 	  3.5100 	  4.4400 	  5.4100 	  0.8825 	  0.0000 	  0.0179 	100.5704 	GProbe Mitte Grid 010x011 Grid 020x021 
