No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Total,Comment
1,57.27,1.6275,17.91,6.42,0.1614,2.28,3.46,4.46,5.45,0.8939,0.0026,0,99.9354,GProbe Mitte Grid 010x011 Grid 020x021
2,57.28,1.5939,18.01,6.44,0.1372,2.31,3.49,4.43,5.43,0.8622,0,0.007,99.9903,GProbe Mitte Grid 010x011 Grid 020x021
4,57.16,1.6335,18.03,6.45,0.1535,2.3,3.48,4.47,5.43,0.9481,0.0109,0.0163,100.0823,GProbe Mitte Grid 010x011 Grid 020x021
5,57.31,1.6235,17.98,6.43,0.1502,2.27,3.48,4.38,5.43,0.9043,0,0,99.958,GProbe Mitte Grid 010x011 Grid 020x021
7,57.39,1.6314,18.08,6.51,0.1466,2.29,3.51,4.4,5.44,0.8663,0.0161,0,100.2804,GProbe Mitte Grid 010x011 Grid 020x021
8,57.53,1.6614,18.03,6.56,0.148,2.32,3.52,4.41,5.44,0.9302,0.0072,0.0015,100.5583,GProbe Mitte Grid 010x011 Grid 020x021
10,57.2,1.6437,18.05,6.53,0.162,2.29,3.52,4.42,5.39,0.8507,0,0,100.0563,GProbe Mitte Grid 010x011 Grid 020x021
11,57.37,1.6387,18.05,6.45,0.1508,2.29,3.51,4.39,5.39,0.9069,0,0,100.1463,GProbe Mitte Grid 010x011 Grid 020x021
13,57.05,1.6406,18.04,6.49,0.1669,2.3,3.49,4.4,5.43,0.9083,0.0044,0,99.9203,GProbe Mitte Grid 010x011 Grid 020x021
14,57.28,1.6365,18.02,6.49,0.1601,2.3,3.49,4.43,5.4,0.8742,0,0,100.0807,GProbe Mitte Grid 010x011 Grid 020x021
16,57.38,1.6531,18.08,6.4,0.1599,2.3,3.52,4.43,5.43,0.8913,0.0138,0,100.258,GProbe Mitte Grid 010x011 Grid 020x021
17,57.64,1.6367,18.07,6.48,0.1957,2.31,3.48,4.4,5.44,0.917,0,0.0011,100.5704,GProbe Mitte Grid 010x011 Grid 020x021
19,57.49,1.5983,18.06,6.52,0.1901,2.3,3.5,4.45,5.4,0.876,0,0,100.3843,GProbe Mitte Grid 010x011 Grid 020x021
20,57.27,1.6521,17.97,6.59,0.1547,2.21,3.54,4.38,5.41,0.8971,0,0.0072,100.0811,GProbe Mitte Grid 010x011 Grid 020x021
22,57.67,1.6239,18.08,6.47,0.1673,2.3,3.53,4.41,5.45,0.9082,0.0081,0,100.6175,GProbe Mitte Grid 010x011 Grid 020x021
23,57.66,1.6396,18.04,6.55,0.1404,2.28,3.51,4.44,5.41,0.8825,0,0.0179,100.5704,GProbe Mitte Grid 010x011 Grid 020x021
25,57.54,1.6399,17.99,6.5,0.1679,2.29,3.5,4.32,5.46,0.9107,0,0.002,100.3204,GProbe Mitte Grid 010x011 Grid 020x021
26,57.41,1.644,18.02,6.38,0.1533,2.27,3.53,4.4,5.42,0.9205,0.0051,0,100.1528,GProbe Mitte Grid 010x011 Grid 020x021
28,57.47,1.6323,18.09,6.47,0.1411,2.23,3.46,4.39,5.47,0.8481,0,0,100.2015,GProbe Mitte Grid 010x011 Grid 020x021
29,57.57,1.638,18.1,6.48,0.1238,2.28,3.53,4.4,5.43,0.8725,0,0.0098,100.4341,GProbe Mitte Grid 010x011 Grid 020x021
31,57.45,1.637,18,6.55,0.1551,2.26,3.5,4.37,5.42,0.9336,0,0,100.2757,GProbe Mitte Grid 010x011 Grid 020x021
32,57.39,1.6471,18.08,6.43,0.1756,2.29,3.52,4.44,5.39,0.8888,0,0.0104,100.2618,GProbe Mitte Grid 010x011 Grid 020x021
34,57.2,1.6417,18.06,6.47,0.163,2.27,3.49,4.4,5.39,0.9319,0.001,0.0218,100.0393,GProbe Mitte Grid 010x011 Grid 020x021
35,57.3,1.6197,18.07,6.59,0.1541,2.27,3.48,4.38,5.41,0.8958,0,0.01,100.1795,GProbe Mitte Grid 010x011 Grid 020x021
37,57.77,1.67,18.17,6.52,0.1489,2.31,3.57,4.41,5.43,0.8782,0,0.018,100.895,GProbe Mitte Grid 010x011 Grid 020x021
