El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Mg,1.301964079,5,44.43133333,27.20285714,66.647,662.0508108,9.521,K$\beta$,K_,304.9508122,26.55258964,103.5011841,12
Be,0.108736842,100,532,325.7142857,798,7927.086696,114,K$\alpha$,K_,3651.338367,317.9282869,1239.27476,4
Al,0.086989474,,665,407.1428571,997.5,9908.85837,142.5,Al1,Al1,4564.172958,397.4103586,1549.09345,13
Cl,2.815097425,8,20.5492,12.58114286,30.8238,306.194154,4.4034,K$\beta$,K_,141.0377488,12.28039841,47.86861824,17
Ar,3.202356041,,18.0642,11.05971429,27.0963,269.1663148,3.8709,AK,AK,123.9821551,10.79533865,42.07990061,18
Sc,4.488052136,,12.88933333,7.891428571,19.334,192.0580128,2.762,AK,AK,88.46488218,7.702788845,30.02523586,21
Sc,0.348300084,1,166.0866667,101.6857143,249.13,2474.780838,35.59,L$\iota$,L_,1139.922215,99.25498008,386.8928835,21
Cr,5.413809669,100,10.68526667,6.542,16.0279,159.2162317,2.2897,K$\alpha$1,K_1,73.33745138,6.38561753,24.89094227,24
Mn,0.636344969,100,90.90666667,55.65714286,136.36,1354.558323,19.48,"L$\alpha$1,2","L$\alpha$1,2",623.9304507,54.32669323,211.7637924,25
Mn,0.567322654,1,101.9666667,62.42857143,152.95,1519.358283,21.85,L$\eta$,L$\eta$,699.8398536,60.93625498,237.5276624,25
Cu,0.952512679,,60.732,37.18285714,91.098,904.9395286,13.014,Al2,Al2,416.8291009,36.2940239,141.4729976,29
Ga,9.241229182,150,6.259773333,3.832514286,9.38966,93.27399608,1.34138,"K$\alpha$1,2","K_1,2",42.96344086,3.740900398,14.5819156,31
As,11.71832903,7,4.93654,3.022371429,7.40481,73.55710632,1.05783,K$\beta$3,K_3,33.88153741,2.950123506,11.4994914,33
As,1.358465753,,42.58333333,26.07142857,63.875,634.5146149,9.125,Al2,Al2,292.2672157,25.44820717,99.19633498,33
Rb,14.94916849,8,3.869646667,2.369171429,5.80447,57.6598207,0.82921,K$\beta$3,K_3,26.55900252,2.312537849,9.014201965,37
Sr,1.649040188,1,35.0798,21.47742857,52.6197,522.7079246,7.5171,L$\eta$,L$\eta$,240.7673301,20.9640239,81.71712544,38
Y,16.72287726,8,3.459213333,2.117885714,5.18882,51.54414285,0.74126,K$\beta$3,K_3,23.742027,2.067258964,8.058112358,39
Y,17.03215169,,3.3964,2.079428571,5.0946,50.60819033,0.7278,K$\beta$4,K_4,23.31091283,2.029721116,7.911790969,39
Zr,1.876220315,1,30.8322,18.87685714,46.2483,459.4163956,6.6069,L$\eta$,L$\eta$,211.6142759,18.42561753,71.82249486,40
Nb,2.3665973,1,24.44353333,14.96542857,36.6653,364.2218194,5.2379,"L$\beta$2,15","L$\beta$2,15",167.7661862,14.60768924,56.9403269,41
Nb,2.709508197,,21.35,13.07142857,32.025,318.1265056,4.575,Al1,Al1,146.5339739,12.75896414,49.73405288,41
Nb,0.3228125,1,179.2,109.7142857,268.8,2670.176571,38.4,M2-N1,M2-N1,1229.924502,107.0916335,417.4399192,41
Mo,17.44122241,150,3.31674,2.030657143,4.97511,49.4212134,0.71073,"K$\alpha$1,2","K_1,2",22.76417296,1.982115538,7.72622588,42
Mo,19.96135266,4,2.898,1.774285714,4.347,43.18176174,0.621,K$\beta$2,K_2,19.89018531,1.73187251,6.750786194,42
Mo,2.015347597,3,28.70373333,17.57371429,43.0556,427.7010952,6.1508,L$\iota$,L_,197.0057195,17.1536255,66.86430873,42
Be,0.111675676,,518,317.1428571,777,7718.479152,111,AK,AK,3555.250515,309.561753,1206.662267,4
F,0.676637555,100,85.49333333,52.34285714,128.24,1273.896739,18.32,K$\alpha$,K_,586.7764814,51.09163347,199.1536281,9
Mg,1.282368264,,45.11028667,27.61854286,67.66543,672.1675814,9.66649,SK$\beta$+,SK_+,309.6107527,26.95833865,105.0827814,12
P,2.02920045,5,28.50778,17.45374286,42.76167,424.7812849,6.10881,SK$\alpha\4,SK$\alpha\4,195.6608099,17.03652191,66.40784253,15
Cl,2.819130791,,20.5198,12.56314286,30.7797,305.7560782,4.3971,AK,AK,140.8359643,12.26282869,47.800132,17
Ar,0.221753131,100,260.8666667,159.7142857,391.3,3887.053915,55.9,L$\eta$,L$\eta$,1790.436971,155.8964143,607.6794658,18
Ti,4.510080007,100,12.82638,7.852885714,19.23957,191.1199742,2.74851,K$\alpha$1,K_1,88.03280714,7.665167331,29.87858834,22
V,0.519095477,10,111.44,68.22857143,167.16,1660.516055,23.88,L$\beta$1,L$\beta$1,764.8592999,66.59760956,259.5954498,23
Cr,5.987827263,,9.660933333,5.914857143,14.4914,143.953113,2.0702,AK,AK,66.30702356,5.773466135,22.50479481,24
Mn,0.64866562,30,89.18,54.6,133.77,1328.830059,19.11,L$\beta$1,L$\beta$1,612.0796156,53.29482072,207.7415848,25
Mn,0.556123822,2,104.02,63.68571429,156.03,1549.954057,22.29,L$\iota$,L_,713.9327385,62.16334661,242.3108281,25
Fe,6.398430846,150,9.040966667,5.535285714,13.56145,134.7152755,1.93735,"K$\alpha$1,2","K$\alpha$1,2",62.0519332,5.402968127,21.06060488,26
Fe,6.402760274,100,9.034853333,5.531542857,13.55228,134.6241836,1.93604,K$\alpha$1,K$\alpha$1,62.00997483,5.399314741,21.0463641,26
Fe,0.720613882,,80.276,49.14857143,120.414,1196.155661,17.202,Al2,Al2,550.9677419,47.97370518,187.0000388,26
Co,0.791267714,18,73.108,44.76,109.662,1089.348598,15.666,L$\beta$1,L$\beta$1,501.7707618,43.69003984,170.3024421,27
Zn,0.086143155,,671.5333333,411.1428571,1007.3,10006.20856,143.9,Am3,Am3,4609.013956,401.314741,1564.312614,30
Ga,1.302511296,,44.41266667,27.19142857,66.619,661.7726674,9.517,Al1,Al1,304.822695,26.54143426,103.4577008,31
Ge,1.18780004,100,48.7018,29.81742857,73.0527,725.6830655,10.4361,"L$\alpha$1,2","L$\alpha$1,2",334.2608099,29.10466135,113.4490818,32
Se,12.65001225,1,4.57296,2.799771429,6.85944,68.13956838,0.97992,K$\beta$2,K_2,31.3861359,2.732844622,10.65254494,34
Br,13.28916476,16,4.35302,2.665114286,6.52953,64.86234385,0.93279,K$\beta$1,K_1,29.87659574,2.601406375,10.14020266,35
Br,1.525642761,35,37.91713333,23.21457143,56.8757,564.9857203,8.1251,L$\beta$1,L$\beta$1,260.2411348,22.65964143,88.32659083,35
Rb,15.08212678,,3.835533333,2.348285714,5.7533,57.15151365,0.8219,K$\beta$5,K$\beta$5,26.32486845,2.292151394,8.934736188,37
Rb,1.81740877,3,31.82993333,19.48771429,47.7449,474.2831599,6.8207,L$\beta$4,L_4,218.4621368,19.02187251,74.14667857,37
Sr,1.94685262,3,29.7136,18.192,44.5704,442.7486527,6.3672,L$\beta$3,L_3,203.9368566,17.75713147,69.21675661,38
Sr,1.940817285,,29.806,18.24857143,44.709,444.1254625,6.387,Al3,Al3,204.5710364,17.8123506,69.43199907,38
Zr,17.99129173,,3.215333333,1.968571429,4.823,47.91019942,0.689,K$\beta$4,K_4,22.06817662,1.921513944,7.490002718,40
Zr,2.042006425,100,28.329,17.34428571,42.4935,422.1173666,6.0705,L$\alpha$1,L_1,194.433768,16.92968127,65.99138098,40
Zr,2.221903567,,26.03533333,15.94,39.053,387.9404972,5.579,Al3,Al3,178.691375,15.55896414,60.64836743,40
Nb,0.374501511,50,154.4666667,94.57142857,231.7,2301.636576,33.1,M2-N4,M2-N4,1060.169298,92.31075697,359.8245137,41
Nb,0.355186246,100,162.8666667,99.71428571,244.3,2426.801103,34.9,Mg,Mg,1117.822009,97.33067729,379.3920099,41
Mo,2.455236888,3,23.56106667,14.42514286,35.3416,351.0725905,5.0488,L$\beta$4,L_4,161.7094486,14.08031873,54.88465272,42
F,0.680351262,35,85.02666667,52.05714286,127.54,1266.943154,18.22,SK$\alpha$+,SK_+,583.573553,50.812749,198.066545,9
Na,1.070928726,5,54.01666667,33.07142857,81.025,804.8774431,11.575,K$\beta$,K_,370.7389613,32.28087649,125.8298715,11
Na,1.060756461,1,54.53466667,33.38857143,81.802,812.5959222,11.686,SK$\alpha\6,SK$\alpha\6,374.2942119,32.59043825,127.0365338,11
Mg,1.274310956,,45.39551333,27.79317143,68.09327,676.4176124,9.72761,SK$\alpha\6,SK$\alpha\6,311.5683825,27.12879283,105.7472066,12
P,2.138716356,5,27.048,16.56,40.572,403.0297762,5.796,K$\beta$,K_,185.6417296,16.16414343,63.00733781,15
S,2.307052367,150,25.07442,15.35168571,37.61163,373.6223707,5.37309,"K$\alpha$1,2","K_1,2",172.0962251,14.98471315,58.40995458,16
S,2.307451751,100,25.07008,15.34902857,37.60512,373.5577023,5.37216,K$\alpha$1,K_1,172.0664379,14.98211952,58.3998447,16
S,0.148633094,100,389.2,238.2857143,583.8,5799.289741,83.4,"L_,N","L_,N",2671.242279,232.5896414,906.6273246,16
Cl,2.621938322,100,22.06306667,13.508,33.0946,328.7515832,4.7278,K$\alpha$1,K_1,151.4280485,13.1850996,51.39511589,17
