done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,Meteorite,Meteorit,,,,,"Any type of natural material that reached the surface of a planet, but did not originate from this planet. Typically, meteorites are rocky material from asteroids. Meteorites are either primitive or differentiated. Primitive meteorites contain material that formed in protoplanetary disk and experienced only limited if at alteration on the asteroid. Differentiated meteorites were molten, thereby erasing all primitive signatures. Meteorites are classified in many classes, groups and sub-groups.","Any type of natural material that reached the surface of a planet, but did not originate from this planet. Typically, meteorites are rocky material from asteroids. Meteorites are either primitive or differentiated. Primitive meteorites contain material that formed in protoplanetary disk and experienced only limited if at alteration on the asteroid. Differentiated meteorites were molten, thereby erasing all primitive signatures. Meteorites are classified in many classes, groups and sub-groups.",,None,WikiMeteorite,,,
yes,Meteor ,Meteor,,,,,"Any type of material, typically natural material, that travles trough the atmosphere of a planet. The friction of the meteor with the atmosphere might cause a bright luminous and intense sound effect. A meteor travelling throuth the Earth's atmosphere is decelerated from several km/s to almsost zero km/s when reaching aheight of about 10 km above the ground, and then freely falls down. ","Any type of material, typically natural material, that travles trough the atmosphere of a planet. The friction of the meteor with the atmosphere might cause a bright luminous and intense sound effect. A meteor travelling throuth the Earth's atmosphere is decelerated from several km/s to almsost zero km/s when reaching aheight of about 10 km above the ground, and then freely falls down. ",,None,WikiMeteorite,,,
yes,Meteoroid,Meteoroid,,,,,"Any type of natural material that travels through space and is smaller than an asteroid, i.e., smaller than around 100 m in diameter.","Any type of natural material that travels through space and is smaller than an asteroid, i.e., smaller than around 100 m in diameter.",,None,WikiMeteoroid,,,
yes,Shooting Star,Sternschnuppe,,,,,"Any type of material that enters a planetary atmosphere, causes a bright luminous effect and completely evaporates before reaching the planet's surface.","Any type of material that enters a planetary atmosphere, causes a bright luminous effect and completely evaporates before reaching the planet's surface.",,None,WikiMeteorite,,,
yes,Chondrule,Chondre,,,component,Bestandteil,"One of two major components (20-80 vol%) of chondrites, the other being matrix. Chondrules are typically <100 µm to few mm in diameter and fromed in brief (minutes to hours) high temperature (up to >2000 K) events from likely fine-grained (µm sized) precursor grains. Chondrules are igneous systems with mainly larger, porphyritic grains of olivine and low-Ca pyroxene with interstitial, fine-grained to glassy so called mesostasis. Mesostasis is mostly composed of feldspathic-like material or a fine intergrowth of high-Ca pyroxene, Feldmar and occasionally quartz. Variable amounts of metal and sulphide occurs in chondrules. Additional phases might be spinel. Chondrules appear in a large variety of texture and bulk element and isotope compositions. They also show chemical and mineralogical zonation. Relict grains of possibly earlier chondrule generations can occur within chondrules. Chondrule populations are characteristically different among chondrite groups, e.g., their size distribution, bulk element and isotope composition or opaque phase content. Chondrules might be surrounded by fine- or coarse-grained rims. Parent body alteration can change the chondrule composition, typically the mesostasis and opaque phases. Cracks, veins and cavities are typical features of chondrules.","One of two major components (20-80 vol%) of chondrites, the other being matrix. Chondrules are typically <100 µm to few mm in diameter and fromed in brief (minutes to hours) high temperature (up to >2000 K) events from likely fine-grained (µm sized) precursor grains. Chondrules are igneous systems with mainly larger, porphyritic grains of olivine and low-Ca pyroxene with interstitial, fine-grained to glassy so called mesostasis. Mesostasis is mostly composed of feldspathic-like material or a fine intergrowth of high-Ca pyroxene, Feldmar and occasionally quartz. Variable amounts of metal and sulphide occurs in chondrules. Additional phases might be spinel. Chondrules appear in a large variety of texture and bulk element and isotope compositions. They also show chemical and mineralogical zonation. Relict grains of possibly earlier chondrule generations can occur within chondrules. Chondrule populations are characteristically different among chondrite groups, e.g., their size distribution, bulk element and isotope composition or opaque phase content. Chondrules might be surrounded by fine- or coarse-grained rims. Parent body alteration can change the chondrule composition, typically the mesostasis and opaque phases. Cracks, veins and cavities are typical features of chondrules.",,None,WikiChondrule,,,
yes,Matrix,Matrix,,,component,Bestandteil,"One of two major components (20-80 vol%) of chondrites, the other being chondrules. Defining the matrix is controversial. Conservatively, matrix is everything that is not another component and with a grain size smaller than about 5-10 µm. Typically, matrix fills the space in between chondrules, CAIs and opaque phases.","One of two major components (20-80 vol%) of chondrites, the other being chondrules. Defining the matrix is controversial. Conservatively, matrix is everything that is not another component and with a grain size smaller than about 5-10 µm. Typically, matrix fills the space in between chondrules, CAIs and opaque phases.",,None,None,,,
yes,Mesostasis,Mesostasis,,,,,"In chondrules the glassy or fine-crystalline (µm-sized) material, typically in between large (tens to hundreds µm-sized) olivine and pyroxene phenocrysts. As chondrules are mafic rocks and olivine and pyroxene crystallised before, mesostasis is Ca,Al-rich and Mg-poor. It is often feldspathic or feldspar-normative.","In chondrules the glassy or fine-crystalline (µm-sized) material, typically in between large (tens to hundreds µm-sized) olivine and pyroxene phenocrysts. As chondrules are mafic rocks and olivine and pyroxene crystallised before, mesostasis is Ca,Al-rich and Mg-poor. It is often feldspathic or feldspar-normative.",,None,None,,,
yes,CAI,CAI,"Ca,Al-rich inclusion","Ca,Al-reiche Einschluss","acronym,component","Abkürzung, Bestandteil","Ca,Al-rich inclusions (CAI). One of two minor components (<3-4 vol%) of chondrites, the other being opaque phases. CAIs are the oldest material, defining the age of the solar system. CAIs are a diverse group of components. Some have irregular shapes and condensation signatures, others are round and were molten. CAIs have typical sizes between tens of µm up to several mm.","Ca,Al-rich inclusions (CAI). One of two minor components (<3-4 vol%) of chondrites, the other being opaque phases. CAIs are the oldest material, defining the age of the solar system. CAIs are a diverse group of components. Some have irregular shapes and condensation signatures, others are round and were molten. CAIs have typical sizes between tens of µm up to several mm.",,None,WikiCAI,,,
yes,Chondrite,Chondrit,,,,,"The meteorites of this super-class originate from an undifferentiated parent body, i.e., these still contain metal and sulphide (1-10 vol%). Other components are chondrules (20-80 vol%), matrix (20-80 vol%), and CAIs (<3-4 vol%). Trace componets are presolar grains and organic matter. Chondrites are sub-divided by e.g., chemical and isotopic composition, parent body alteration, shock degree and terrestrial weathering.","The meteorites of this super-class originate from an undifferentiated parent body, i.e., these still contain metal and sulphide (1-10 vol%). Other components are chondrules (20-80 vol%), matrix (20-80 vol%), and CAIs (<3-4 vol%). Trace componets are presolar grains and organic matter. Chondrites are sub-divided by e.g., chemical and isotopic composition, parent body alteration, shock degree and terrestrial weathering.",,None,WikiChondrite,,,
yes,Achondrite,Achondrit,,,classification,Klassifikation,The meteorites of this super-class originate from a differentiated parent body. Exceptions are primitve achondrites which parent body's might have only experienced some beginning differentiation. Iron meteorites are part of this super-class but also meteorites from larger planetary bodie such as the Moon and Mars.,The meteorites of this super-class originate from a differentiated parent body. Exceptions are primitve achondrites which parent body's might have only experienced some beginning differentiation. Iron meteorites are part of this super-class but also meteorites from larger planetary bodie such as the Moon and Mars.,,None,WikiAchondrite,,,
