Titel,Kapitel,Unterkapitel,Schlagworte,Laufzeit,Beschreibung,vimeo,youtube - deutsch,youtube - english
Proben-Vorbereitung,1,1,none,05:54,"Eine Labor-Tour kann nur mit der Proben-Vorbereitung beginnen, denn die Probe braucht für die verschiedenen Geräte eine jeweils bestimmte Präparation und Vorbereitung. Eigentlich sollte man in der Präparation selbst beginnen, um zu sehen, wo und wie aus einem Gestein oder einem anderem Material ein polierter Dick- oder Dünnschliff wird. Eine kurze Beschreibung muss für den Moment reichen: Ein Stein wird in ein Klötzchen gesägt, das auf einem Objektträger aufgeklebt wird. Das Klötzchen wird nochmals geschnitten und anschließend auf Poliermaschinen in mehreren Schritten mit immer feinerer Körnung (bis runter zu 1 µm) geschliffen, sodass eine hoch-polierte Proben-Oberfläche entsteht. Mit dieser fertigen Probe können wir aus der Präparation in die Proben-Vorbereitung.
Im ersten Schritt werden die Proben gereinigt und getrocknet. Es stehen außerdem zwei Geräte zur Verfügung (Cross-Section Polnischer & Ion-Slicer), um die Proben-Oberfläche weiter zu glätten, z.B. für EBSD-Messungen am Rasterelektronen-Mikroskop (REM)
In der Mikrosonde werden die Proben mit einem Elektronenstrahl beschossen. Dabei würden sich die Elektronen auf der Proben-Oberfläche in Millisekunden akkumulieren, und sich die Probe aufladen. Weitere Elektronen würden von den angesammelten Elektronen abgelenkt und eine Analyse wäre überhaupt nicht möglich. Daher wird die Proben-Oberfläche mit einer dünnen, elektrisch leitenden Kohlenstoffschicht bedampft.
Derselbe Effekt tritt natürlich im REM auf. Auch diese Proben können mit Kohlenstoff bedampft werden. Mit dem REM können jedoch auch 3-dimensionale Proben untersucht werden. Diese können nicht gut mit Kohlenstoff bedampft werden. Solche Proben werde stattdessen mit entweder Gold oder Platin besputtert.",https://vimeo.com/541034667,https://youtu.be/RZnPN6szm7s,
Elektronenstrahl-Mikrosonde (EPMA),1,2,none,14:05,"Mit der Mikrosonde schauen wir uns (i) an, wie die Probe aussieht: deren Struktur, Gefüge, Korngröße, usw. – also deren Petrographie. (ii) bestimmen wir mit der Mikrosonde die chemische Zusammensetzung der Probe, bzw. deren Phasen, um daraus die Minerale zu bestimmen,  Zonierungen der Minerale, Spurenelement-Gehalte, usw. – also deren Petrologie. Dabei können wir auf der Probe einzelne Punkte von bis zu deutlich weniger als 1 µm Durchmesser analysieren. Es können viele Punkte nebeneinander gemessen werden, um einen Line-Scan zu erhalten. Schließlich sind Element-maps möglich, Falschfarben-Bilder, auf denen die relativen Intensitäten eines Elements dargestellt sind.
Eine Mikrosonde verfügt über verschiedene Detektoren, um die Probenoberfläche abzubilden, dazu gehören: Rückstreuelektronen-Bilder (BSE – Backscatter Electron images), Sekundär-Elektronen Bilder (SE – secondary electron images), und Kathodolumineszenz (CL – cathodoluminescence images). BSE Bilder sind Phasen-Kontrast Bilder, in denen Phasen mit schweren Elementen heller sind. Darauf ist die Mineralogie einer Probe sehr gut zu erkennen. SE Bilder zeigen die 3-Dimensionale Probenoberfläche. Darauf sind z.B. Risse oder Verunreinigungen auf der Probe sehr gut zu erkennen. Auf CL Bildern können sehr gut feine Zonierungen, z.B. in Zirkon abgebildet werden.
Die chemische Analyse erfolgt mit einem energiedispersiven (EDS) oder einem winkeldispersiven Spektrometer (WDS). Eine EDS-Analyse geht sehr schnell, ist aber oft nicht ausreichend präzise. Eine WDS-Analyse ist aufwändiger und dauert länger, ist aber sehr viel präziser, bis deutlich hinunter in den <100 Gew.-ppm Bereich.",https://vimeo.com/541029802,https://youtu.be/Me2lRwQXwbI,
Rasterelektronen-Mikroskop (REM),1,3,none,06:17,"Das verfügt über eine sehr andere Probenkammer als die Mikrosonde. Die Probenkammer des REM ist sehr viel größer, und es können auch 3-dimensionale Proben eingebaut und untersucht werden. So z.B. auch biologische Proben wie Pflanzen oder Tier(-teile). Das Raster wird daher häufig für bildgebende Untersuchungen verwendet, z.B. für die Morphologie oder Struktur einer Probe. Es sind dabei Vergrößerungen von deutlich über 100.000x möglich.
Das REM verfügt über Detektoren für BSE- und SE-Bilder, sowie über eine Schwarz/Weiß- sowie Farb-CL. Es gibt weiter ein EDS für chemische Analysen, sowie einen Detektor Rückstreu-Elektronen Diffraktometrie (EBSD – Electron Backscatter Diffraction). Mit diesem wird die Kristallographie der Minerale untersucht, und es kann bspw. gesehen werden, ob Minerale in einem Gefüge eingeregelt vorliegen, oder zufällig zueinander orientiert sind.",https://vimeo.com/541054877,https://youtu.be/5InbCWSih1o,
Mikro-Röntgenfluoreszenz (µ.RFA),1,4,none,01:58,"Für die µ.RFA werden wieder Dünnschliffe benötigt. Die Probe wird hier nicht mit einem Elektronenstrahl beschossen, sondern von Röntgenstrahlen beleuchtet. Ein bildgebendes Verfahren besitzt die µ.RFA nicht. Es wird ausschließlich die chemische Zusammensetzung der Probe ortsaufgelöst mit Hilfe eines EDS analysiert. Röntgenstrahlen können im Gegensatz zu einem Elektronenstrahl nur schwer fokussiert werden. Bei der µ.RFA erfolgt wird die Röntgenstrahlung durch ein Kapillar auf die Probe geleitet, und erlaubt eine Ortsauflösung im  zehner µm Bereich – also deutlich schlechter als in der EPMA oder dem REM. Eine konventionelle RFA ist tatsächlich gar nicht für die Ortsauflösung gedacht, sondern für Gesamtgesteinsanalysen. Dazu werden Schmelztabletten oder Pulverpresslinge des Gesamtgesteins hergestellt und dann deren chemische Zusammensetzung in der konventionellen RFA meist per WDS analysiert.",https://vimeo.com/541030264,https://youtu.be/GnV4oN5ADx8,
OLAT Labor-Gruppe,1,5,none,03:46,"Das Elektronenstrahl-Labor ist in einer OLAT-Gruppe abgebildet, welche vielfältige Informationen rund um das Labor zur Verfügung stellt, bspw. welche Geräte es gibt, wie diese heißen, grundlegende Informationen zu den Geräten, Video-Tutorials zur Bedienung der Geräte, der Belegungskalender, aktuelle Informationen in einem Blog – und vieles mehr. Wer das Labor nutzt, sollte sich hier eintragen lassen – aber auch jede*r Andere, die/der sich für das Labor, bzw. die dort vorhandenen Geräte interessiert.",https://vimeo.com/540179720,,
Prinzipieller Aufbau der Mikrosonde ,2,1,none,11:42,"Zunächst wollen wir verstehen wie eine Mikrosonde im Prinzip aufgebaut ist, um uns anschließend im Detail anzusehen, wie diese funktioniert, und wie man damit Bilder erzeugt, sowie qualitative und quantitative Analysen macht.",https://vimeo.com/541055141,https://youtu.be/m2YLBpyoD9o,
"Atomaufbau: Oribtale, Quantenzahlen, Energie-Niveaus & Co.",2,2,none,15:26,"Die gesamte Analytik von Elektronenstrahl-Geräten – aber auch von Röntgenstrahl-Geräten wie der RFA – basiert auf der Interaktion von Elektronen – bzw. Röntgenstrahlen – mit Materie. Um diese Geräte zu verstehen, müssen wir daher die Interaktion von Elektronen- bzw. Röntgenstrahlen mit Materie verstehen. Zunächst liegt der Fokus nur auf der Interaktion von Elektronenstrahlen mit Materie – die Interaktion von Röntgenstrahlen mit Materie ist in vielem identisch. Materie besteht aus Atomen, und Atome bestehen aus einem Kern und einer Elektronenhülle um den Kern herum. Um die Interaktion von Elektronenstrahlen mit Materie zu verstehen, müssen wir zunächst den Aufbau von Atomen kennen, bzw. was Orbital und Quantenzahlen, und vor allem den damit zusammenhängenden Energie-Niveaus.",https://vimeo.com/541677719,https://youtu.be/UnIXRz_Ey2w,
Atomaufbau: Aufbau-Schema und Elektronen-Konfiguration der Elemente,2,3,none,15:11,"Jedes chemische Element hat eine bestimmte Elektronen-Konfiguration, die einer strengen Systematik unterliegt – mit wenigen Ausnahmen, die wir hier nicht weiter besprechen. Diese Systematik hilft uns zunächst den Zusammenhang zwischen Atomaufbau und dem Perioden-system der Elemente zu verstehen.
Die Elektronen-Konfiguration erscheint zunächst abstrakt und sehr physikalisch. Es lohnt sich jedoch die Elektronen-Konfiguration gut zu durchschauen, um (i) zu verstehen wie charakteristi-sche Röntgenstrahlung entsteht, (ii) wie diese verwendet wird, um Elemente in einer Probe zu identifizieren, und (iii) was Linienüberlagerungen sind, wie diese entstehen, und wie man dieses Problem lösen kann.",https://vimeo.com/541783485,https://youtu.be/QxkXknJIpAE,
Die (Kurz)Schreibweise der Elektronen-Konfigurationen,2,4,none,14:03,"Als Abschluss des Atomaufbaus sowie der Elektronen-Konfiguration wird deren (Kurz)Schreibweise vorgestellt. Diese ist zwar tatsächlich nicht mehr essentiell um zu verstehen wie die Mikrosonde funktioniert, rundet das Thema jedoch sinnvoll ab und ist durchaus noch mal hilfreich, um die beiden vorangegangen Blöcke zu verstehen und vertiefen, sowie den nächsten, sehr zentralen und wichtigen Block vorzubereiten.",https://vimeo.com/542008495,https://youtu.be/nOyz9lsVGlI,
Charakteristische Röntgenstrahlung,2,5,none,16:54,"Die chemische Zusammensetzung einer Probe wird bei der Mikrosonde, wie auch der Röntgen-Fluoreszenzanalyse mit Hilfe der charakteristischen Röntgenstrahlung bestimmt Mit den vorherigen Blöcken haben wir uns das nötige Rüstzeug erworben um nun zu verstehen, was charakteristische Röntgenstrahlung ist, wie diese entsteht, und weshalb sie diagnostisch für die verschiedenen, chemischen Elemente ist.",https://vimeo.com/542314906,https://youtu.be/qOz-_pWhn34,
