Titel,ignore,Kapitel,Unterkapitel,Schlagworte,Laufzeit,Lecture ipynb,Exercise ipynb,Solution ipynb,Beschreibung,Vimeo,Youtube
Installation mit Jupyterlab Desktop,,1,1a,Jupyterlab Desktop,01:17,none,none,none,"Als erstes installieren wir Jupyter Notebooks. Dazu verwenden wir JupyterLab Desktop, welches wir über: https://github.com/jupyterlab/jupyterlab-desktop erhalten, wenn auf der GitHub-Seite bis zu den Installern runter gescrollt wird.",,https://youtu.be/bOZJwkDocbg
oder Verwendung von Colab,,1,1b,Colab,,none,none,none,"Colab ist das Jupyter Notebook von Google, und kann genutzt werden, wenn man einen Google Account besitzt.products/individual erhalten.",,
oder Installation mit Anaconda,,1,1c,Anaconda,03:05,none,none,none,"Als erstes installieren wir Jupyter Notebooks. Dazu verwenden wir Anaconda, welches wir über: https://www.anaconda.com/products/individual erhalten.",https://vimeo.com/546101347,https://youtu.be/MK1jGJBydUM
Padlet zur Lern-Dokumentation,yes,1,,none,03:16,none,none,none,"Für die Programmierung mit Jupyter Notebooks, werden wir verschiedenste Elemente kennen lernen. Diese wollen wir mit dem online Werkzeug ›Padlet‹ strukturieren und dokumentieren. Lege dazu ein eigenes Padlet unter padlet.com an.",https://vimeo.com/589864403,https://youtu.be/hDVtq86ZyT0
"Anlegen der Ordnerstruktur
",,1,2,none,02:14,none,none,none,"Der Ordner mit den Jupyter Notebook Dateien (.ipynb) sollte möglichst nahe dem Root-Verzeichnis sein, dann kann schneller auf die Daten zugegriffen werden. Lege in diesem Ordner die 3 folgenden, zusätzlichen Ordner an: ›Data‹, ›Output‹, ›Module‹. Es wird im Laufe des Kurses klar, wofür wir diese Brauchen. In den ersten ›Data‹ kannst Du von OLAT die Datei ›Atomic Masses.xlsx‹ kopieren.",https://vimeo.com/590996917,https://youtu.be/1uPL4Wi_djk
"Simple Calculation and print( )
",,1,3,none,03:07,none,none,none,"Wir beginnen mit einer einfachen Rechnung und einem ersten Befehl (›print( )‹), um die Funktionsweise eines Jupyter Notebooks kennen zu lernen. Achte dabei vor allem auch auf sinnvolle, Leerzeichen, Leerzeilen – und vor allem auf eine gute Beschreibung und Kommentierung.",https://vimeo.com/589858557,https://youtu.be/xn-1s7TRkIk
"Basics- Variables, Operators, Indents, Lists & Comments
",,2,1,"operators; variables; print(); extract with [ ]
",10:56,Basics_Variables_Operators_Indents_Lists_Comments.ipynb,Exercise_Basics_Variables_Operators_Indents_Lists_Comments.ipynb,Solution_Basics_Variables_Operators_Indents_Lists_Comments.ipynb,"Wir starten mit ein paar grundsätzlichen Dingen, welche noch nicht wirklich etwas mit dem Ziel dieser Einheit zu tun haben, aber gut zu wissen sind, bevor es richtig los geht.",https://vimeo.com/599697548,https://youtu.be/SwjXloggvRM
"Basics- Point Notation, Methods & Functions
",,2,2,"functions: sum(), len(), round(), sorted(), range(), list()
methods: append(), count(), clear(), sort()",09:36,Basics_Point_Notation_Methods_Functions.ipynb,Exercise_Basics_Point_Notation_Methods_Functions.ipynb,Solution_Basics_Point_Notation_Methods_Functions.ipynb,"Wir machen mit einem Nachschlag Basics weiter – wobei, diesmal sind das schon Dinge, welche konkret für das Nachfolgende wichtig sind.",https://vimeo.com/599697126,https://youtu.be/8MyvQP42sLY
"Command- for loop
",,2,3,none,05:43,Command_for_loop.ipynb,Exercise_Command_for_loop.ipynb,Solution_Command_for_loop.ipynb,"Wirklich sehr häufig muss ein und dieselbe Rechnung zig-Mal durchgeführt werden. Zum Beispiel wenn für 500 Proben die Oxide- in Element-Gew% umgerechnet werden müssen. Man bewegt sich also in einer wahren Schleife mit der immer gleich Rechnung. Schmerzfreie Computer führen solchen Schleifen in atemberaubender Geschwindigkeit, und mit nur wenig Befehlszeilen durch. Daher sind Schleifen sehr wichtig und eine Kernfunktion der Programmierung. Deshalb schauen wir uns nun an, wie diese funktionieren und wir diese anwenden.",https://vimeo.com/599696793,https://youtu.be/0TUoVg7Du-w
"Command- def, return, import & making own commands and importing these",,2,4,none,09:27,Command_def_return_import_making own_commands_and_importing_these.ipynb,Exercise_Command_def_return_import_making_own_commands_and_importing_these.ipynb,Solution_Command_def_return_import_making_own_commands_and_importing_these.ipynb,"Und schon jetzt wird es wirklich cool: wir basteln uns einen eigenen Befehl, und legen den in einer Datei ab. Diese Datei können wir fortan importieren wenn wir den Befehl brauchen, und diesen dann einfach anwenden. – Die Datei lässt sich ab sofort um immer mehr Befehle erweitern, welche in der Mineralogie nützlich sind: Aufschmelzung, Mischung, Umrechnungen, Formelberechnung, Isotopen-Fraktionierungen, Gesteinsalter, Thermobarometrie, jegliche Modelle – und vieles mehr. ",https://vimeo.com/599696324,https://www.youtube.com/watch?v=x78T8dn8bW4
Task - Building a ratio mixing command,,2,5,none,03:35,none,none,Solution_Task_Building_a_ratio_mixing_command.ipynb,"Zum Abschluss sollst Du Deinen ersten, eigenen Befehl schreiben. Natürlich gleich einen nützlichen. ",https://vimeo.com/600431724,https://youtu.be/E5GU7NLoKBI
Was  Datensätze sind und wie diese aufgebaut sein müssen ,,3,1,none,06:09,none,none,none,"Zunächst müssen wir uns etwas anschauen, wie Datensätze und eine Datenbank überhaupt aufgebaut sind. Wir sind zwar sehr damit vertraut, Tabellen zu erstellen, als Datenbank taugen die meisten jedoch selten etwas. Datenbanken, bzw. einzelne Datensätze erstellt man mit einigen wenigen, einfachen Regeln, die wir nun kennen lernen wollen – danach sehen auch die meisten Tabellen besser aus. Außerdem lernen wir noch ein wenig hilfreiches, und Datenbank bezogenen Vokabular kennen. ",https://vimeo.com/606263968,https://youtu.be/-8xz6yr5kB0
Basic- Introduction to working with data using pandas ,,3,2,"pandas: read_excel(), shape(), info, columns, set_option(›display.max_rows', 20), python: type() set_option('display.max_rows', 20), drop_duplicates(), df[›category name‹], >, <, &",11:24,Basics_Introduction_to_working_with_data_using_pandas.ipynb,Exercise_Basics_Introduction_to_working_with_data_using_pandas.ipynb,Solution_Basics_Introduction_to_working_with_data_using_pandas.ipynb,"Python selbst stellt nur einen sehr begrenzten Umfang an Befehlen zur Daten-Manipulation zur verfügung. Allerdings gibt es sehr viele zusätzliche Befehlspakete – genannt: libraries oder packages – für alles mögliche, auch eines zur Daten-Manipulation. Diese heißt (warum auch immer) ›pandas‹, und dessen Grundzüge lernen wir nun kennen. ",https://vimeo.com/606265047,https://youtu.be/yXb5HHuIuqk
Basics– Introduction to making a plot using matplotlib ,,3,3,"read_csv(),  maptplotlib.pyplot, plt, plot(), scatter(), show(), xlabel(), legend(), xlim() ",10:49,Basics_Introduction_to_making_a_plot_using_matplotlib.ipynb,Exercise_Basics_Introduction_to_making_a_plot_using_matplotlib.ipynb,Solution_Basics_Introduction_to_making_a_plot_using_matplotlib.ipynb,"Eine weitere library ist die ›matplotlib‹, die praktische alle nur denkbaren Plots und deren noch so komplizierten Darstellungen ermöglicht. In diese nehmen wir nun einen ersten, kleinen Einblick. ",https://vimeo.com/607226446,https://youtu.be/WRpxCtj-g14
Basics- Selecting data using locations and indices ,,3,4,".iloc(), .loc(),  .set_index() ",12:36,Basics_Selecting_data_using_locations_and_indices.ipynb,Exercise_Basics_Selecting_data_using_locations_and_indices.ipynb,Solution_Basics_Selecting_data_using_locations_and_indices.ipynb,"Nun wollen wir lernen, wie leicht mit Pandas jegliche gewünschten Daten aus einer Datenbank, also z.B. einer einfachen Excel-Tabelle extrahiert werden können. Das ist besonders wichtig und hilfreich, wenn die Datenbank sehr groß ist, oder wenn man immer andere Datenbanken verwendet, die aber immer anders aufgebaut sind. Anders aufgebaut meint, dass z.B. die Kategorienamen in anderer Reihenfolge stehen, oder evtl. auch etwas anders lauten. Dann müsste bei einem Code mit Pandas nur der entsprechende Kategoriename geändert werden, der Code selbst bliebe gleich. ",https://vimeo.com/609983778,https://youtu.be/p938Ji5BNEs
Basics- Plotting selected data ,,3,5,none,03:03,Basics_Plotting_selected_data.ipynb,Exercise_Basics_Plotting_selected_data.ipynb,Solution_Basics_Plotting_selected_data.ipynb,"Zum Schluss dieser Einheit wollen wir die geballte Kraft von Pandas mit der von maplotlib kombinieren. D.h., wir selektieren zunächst mit Pandas die gewünschten Daten aus einer Datenbank, und visualisieren diese umgehend und einfach mit Hilfe der matplotlib Bibliothek. ",https://vimeo.com/610036139,https://youtu.be/zbUv3SuEvS8
Basics-  local & global variables ,,4,1,global ,05:05,Basics_local_global_variables.ipynb,Exercise_Basics_local_global_variables.ipynb,Solution_Basics_local_global_variables.ipynb,"Lokale Variablen gelten nur innerhalb bestimmter Befehle. Das ist sehr praktisch, da derselbe Variablen-Name ohne Konflikte dann noch woanders verwendet werden kann. Globale Variablen gelten dagegen überall, sodass eine Doppelbelegung unbedingt vermieden werden muss. ",https://vimeo.com/610877259,https://youtu.be/M1bPtrpAhbM
Basics- Introduction to interactive elements ,,4,2,"ipywidgets library, interact(), concatenate strings (+) ",09:24,Basics_Introduction_to_interactive_elements.ipynb,Exercise_Basics_Introduction_to_interactive_elements.ipynb,Solution_Basics_Introduction_to_interactive_elements.ipynb,"Interaktive Elemente erlauben es Anwendern die dargestellten Inhalte – also beispielsweise ein Diagramm – zu manipulieren, also damit zu interagieren. So können über Drop-Down Menüs z.B. die darzustellenden chemischen Elemente ausgewählt, oder über Slider Variablen-Werte verändert werden. Diese Elemente bilden eine GUI (graphical user interface), mit der sich richtige Programme erstellen lassen. ",https://vimeo.com/610891436,https://youtu.be/Dl9KGsf1_CY
"Command- if, elif, else ",,4,3,"== (›test a condition‹),
 True, False",06:11,Command_if_elif_else.ipynb,Exercise_Command_if_elif_else.ipynb,Solution_Command_if_elif_else.ipynb,"Oftmals sollen unterschiedliche Dinge ausgeführt oder dargestellt werden, je nachdem was für eine Bedingung erfüllt ist. Wird etwa ein bestimmter Messwert unterschritten (die Bedingung), kann als Ausgabe erfolgen ›below detection limit‹. Eine Bedingung kann auch der Input eines Anwenders sein, der z.B. auswählen kann, ob auf der x-Achse die Einheit in wt% oder wt-ppm dargestellt werden soll. Bedingungen sind sehr häufig, und dieser Befehl entsprechend wichtig. ",https://vimeo.com/610906017,https://youtu.be/EwDaGK-nlgI
Program- Visualising data from various databases ,,4,4,none,14:47,Program_Visualising_data_from_various_databases.ipynb,Exercise_Program_Visualising_data_from_various_databases.ipynb,Solution_Program_Visualising_data_from_various_databases.ipynb,"Nun wollen wir einmal möglichst viel des bisher Gelernten anwenden und um schickes Programm zu bauen, mit dem auf verschiedene Datenbanken zugreifen und deren Inhalt wie gewünscht –  also Element aussuchen, Einheit festlegen – darstellen können.   ",https://vimeo.com/610953138,https://youtu.be/EyYYi2VCb0g
Task- Plotting normalised REE from a database ,,4,5,".pop(), .dropna(), .T, .yscale(log) ",06:15,none,none,Solution_Task_Plotting_normalised_REE_from_a_database.ipynb,"Seit einiger Zeit sollte klar werden, dass das bisher Gelernte mit den üblichen Programmen zur Analyse und Darstellung von Daten immer schwieriger würde, vor allem wenn schnell und flexibel gestaltet werden soll. Und natürlich ist das erst der Anfang. In dieser Aufgabe sollst Du erfahren, wie sehr wir uns bald auf die Ergebnisse, und weniger auf den Weg dahin konzentrieren können. Im Video werden ein paar Sachen dargestellt, dann sollst Du selbst versuchen, den unten gezeigten Plot normiert, bzw. nicht normiert darzustellen, d.h., das Programm dafür zu schreiben. ",https://vimeo.com/610983241,https://youtu.be/zTn6HiK_0Sc
Regular expressions - intro,,5,1,none,17:25,DataScience_regex_intro_lecture.ipynb,none,none,"Im ersten Video lernen wir die Grundsätze von regular expressions (regex) kennen; eine Methode die es ermöglicht Informationen aus einem Text über Mustererkennung zu extrahieren. Weiterhin werden ein kurzer Überblick zur Historie gegeben, Anwendungsfälle gezeigt, sowie erste kleine Beispiele besprochen.",,https://hessenbox-a10.rz.uni-frankfurt.de/dl/fiRnFZmEV8LkfiFepwvpH7/regex_0.mp4
regex - pattern matching ,,5,2,"re: .compile(), .findall()",07:08,none,DataScience_regex_patternMatching_exercise.ipynb,DataScience_regex_patternMatching_solution.ipynb,"In diesem Teil greifen wir auf die zuvor kurz dargestellten Beispieltexte (Mail Adressen, Instrument Log file) zurück und lernen, wie wir mit Hilfe von Mustern (“pattern”), welche sich zumeist aus einer Kombination aus regulären- und Metazeichen zusammensetzen, benötigte Informationen extrahieren können.",,https://hessenbox-a10.rz.uni-frankfurt.de/dl/fi3vitMhAzikWhSxSJvfkL/regex_1.mov
