Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6182],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / PACIFIC OCEAN,ROIHO LAVA FIELD,-26.92,-26.92,-109.35,-109.35,SUBAERIAL,,,s EAP7A [6182],BASALT [6182],,3000000 [6182],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6182] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,126.2,,,24.1,,,,,,,,,,,,,,,,,,,,,,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,138968,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,SOUTHEASTERN SHORE,-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-45-72 [1241],"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE [1241]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,213150.36000000002,25412.016,,79916.901,,,,115817.7,58605.399999999994,26714.671999999995,1161.687,,5312.96,22997.567,3098.5890999999997,,,,,,,,,,,,,,,,28600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,315,42,,,34,4,,,,,,,,4,360,35,330,45,,,,,,,,,,,,,175,24,53,,33,9,3,8,1.4,,,,,4.2,0.6,7,2.2,,,,,,,,,,,2.3,0.67,,,,,,,,,,,,,,,,,,,,,,,,,15018,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,"RANO RORAKU, TONGARIKA GROUP, BASEMENT",-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-84-72 [1241],"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE [1241]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,217824.71000000002,21875.91,,80975.403,,,,110376.59999999999,59463.04,26292.544,1239.1328,,6641.200000000001,24110.3525,3098.5890999999997,,,,,,,,,,,,,,,,21000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,300,39,,,32,7,,,,,,,,6,400,36,320,47,,,,,,,,,,,,,230,26,55,,32,7.7,2.6,9,1.45,,,,0.68,4.3,0.62,12,3,,,,,,,,,,,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,15019,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,HANGA PICO BAY,-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-36-72 [1241],BASALT [1241],,,,,,,,SUBAPHYRIC [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,226238.54,14504.027999999998,,77270.64600000001,,,,111153.90000000001,49242.829999999994,22674.303999999996,1239.1328,,6475.17,32048.222400000002,4407.8521,,,,,,,,,,,,,,,,21100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,63,25,,,14,3,,,,,,,,5,395,65,550,45,,,,,,,,,,,,,250,48,90,,53,13.1,4.05,13,2.16,14,,,1.17,7.2,1.08,13.5,4.1,,,,,,,,,,,4.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,15020,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,HANGA PICO BAY,-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-35-72 [1241],BASALT [1241],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,230912.89,14504.027999999998,,28050.303,,,,108822,49671.65,21106.399999999998,1316.5786,,7471.35,31528.9225,4538.7784,,,,,,,,,,,,,,,,17200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,52,22,,,16,3,,,,,,,,11,369,75,500,60,,,,,,,,,,,,,245,54,105,,70,18.7,7.2,19,3.2,,,,,9,1.3,12,3.4,,,,,,,,,,,3.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,15021,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,CAPE BETWEEN HANGA PICO BAY AND HANGA ROA BAYS,-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-75-52 [1241],BASALT [1241],,,,,,,,APHANITIC [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,239326.72000000003,11986.8,,77270.64600000001,,,,103380.90000000001,44168.46,18573.631999999998,1471.4702,,10376.875,31528.9225,4145.9995,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,62,21,,,17,3,,,,,,,,13,336,,,,,,,,,,,,,,,,197,56,97,,62,18,6.4,17,2.9,18,,,1.4,8,1.13,11.2,3.2,,,,,,,,,,,4.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,15022,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,"HUTUITI CAPE, SOUTHEASTERN SHORE",-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-33-72 [1241],BASALT [1241],,,,,,,,SUBAPHYRIC [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,239326.72000000003,14084.49,,77270.64600000001,,,,101049,50958.11,17488.16,1084.2412000000002,,9961.8,29674.28,4233.2837,,,,,,,,,,,,,,,,20299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,67,25,,,16,3,,,,,,,,16,365,70,500,55,,,,,,,,,,,,,250,50,103,,60,15.4,5.5,16,2.85,17,,,1.5,8.5,1.2,12.5,3,,,,,,,,,,,3.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,15023,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,"SOUTH OF TE MIRO OONE, SOUTHEASTERN SHORE",-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-88-72 [1241],"ANDESITE, BASALTIC [1241]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,244001.07000000004,12226.536,,81504.65400000001,,,,99494.40000000001,39094.09,16824.816,1084.2412000000002,,13282.400000000001,31157.994,3753.2206,,,,,,,,,,,,,,,,16700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,67,29,,,13,5,,,,,,,,20,350,100,550,60,,,,,,,,,,,,,290,61,122,,75,21.6,7.5,22,3.8,21,,,1.6,10,1.45,12,3.3,,,,,,,,,,,4.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,15024,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN,"ANAKENA BAY, NORTHERN SHORE",-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-89-72 [1241],"DOLERITE, OLIVINE-CLINOPYROXENE-PLAGIOCLASE [1241]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1241] ,223433.93,12286.469999999998,,110613.459,,,,76952.7,64608.88,18030.896,851.9038,,5811.049999999999,22997.567,1178.3367,,,,,,,,,,,,,,,,23200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,184,78,,,28,26,,,,,,,,7,430,15,154,15,,,,,,,,,,,,,131,13,31,,17,4.9,1.95,6.1,1,5.7,,,0.4,2.3,0.33,5,1.4,,,,,,,,,,,1.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,15025,
[1241],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / MAUNGA ORITO / PACIFIC OCEAN,SLOPE OF VOLCANO,-27.17,-27.17,-109.33,-109.33,SUBAQUATIC,,,s F-80-72 [1241],BASALT [1241],,,,,,,,SUBAPHYRIC [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,212215.49000000002,24872.61,,73565.88900000001,,,,118926.90000000001,59463.04,29729.871999999996,1316.5786,,4897.884999999999,24852.2095,2269.3892,,,,,,,,,,,,,,,,19800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,283,28,,,34,5,,,,,,,,3,350,36,330,32,,,,,,,,,,,,,150,25,50,,31,9.5,3.1,10,1.8,10.5,,,,4.6,0.7,7.5,2,,,,,,,,,,,2.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,15026,
