Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9956],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB9 [9956],NOT GIVEN [9956],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9956] ,187488.1785,20557.362,,81557.5791,,,,66070.5,99414.77,52464.479999999996,1161.687,,16852.045,35905.8788,8684.7779,,,,,,,,1500.,,,,,,,1800.,,,,,,,,,,,,,,,3.5,2.6,5.1,,,1831,,,,,,,16781,,30,20328,291,205,,,,,,,,,,,,57,1572,38,417,129,,,,,,,,,,,,0.8,713,115,224,,92.8,18.7,5.5,11.9,,9.1,,3.4,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286021,
[5460],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB2 [5460],THOLEIITE [5460],,,,NEOGENE [5460],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5460] ,,,,,,,,,,,,,1079.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7028,,19.4,,15.68,,38.9,,,,,,,,,,,,,,,286882,
[5460],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB026 [5460],THOLEIITE [5460],,,,NEOGENE [5460],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5460] ,,,,,,,,,,,,,1411.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,297,,,,,,,,,,,,,,,,,,25.6,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7028,,,,,,,,,,,,,,,,,,,,,286884,
[5460],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB018 [5460],"BASALT, ALKALINE [5460]",,,,NEOGENE [5460],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5460] ,,,,,,,,,,,,,9463.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70304,,19.604,,15.633,,39.012,,,,,,,,,,,,,,,286887,
[5460],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB24 [5460],"BASALT, ALKALINE [5460]",,,UPPER [5460],CRETACEOUS [5460],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5460] ,,,,,,,,,,,,,7886.424999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,29,797,,,,,,,,,,,,,,,,,,132.6,,66.8,,,,,,,,,,,,,,,,,,,,,,,5.7,2.1,,,,0.70315,,19.927,,15.699,,39.56,,,,,,,,,,,,,,,286890,
[5460],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s IB25 [5460],"BASALT, ALKALINE [5460]",,,UPPER [5460],CRETACEOUS [5460],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5460] ,,,,,,,,,,,,,7886.424999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,12,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.4,,,,0.70306,,19.839,,15.687,,39.508,,,,,,,,,,,,,,,286891,
[8370],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s 106 [8370],THOLEIITE [8370],2000000 [8370],3000000 [8370],,PLIOCENE [8370],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8370] ,236428.62300000002,8390.759999999998,,82457.3058,,29514.679999999997,45549.780000000006,,65609.45999999999,45167.695999999996,1239.1328,,1743.3149999999998,23145.9384,1178.3367,,,,,,,,,,,,,,,,19200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,333,,,41,217,,,,,,,,3,286,21,105,12,,,,,,,,,,,,,124,16,32,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,287825,
[8370],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s 110 [8370],THOLEIITE [8370],2000000 [8370],3000000 [8370],,PLIOCENE [8370],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8370] ,235026.31800000003,9050.034,,87908.5911,,29584.620000000003,45705.24,,66610.04000000001,44986.784,1239.1328,,1328.24,23813.609699999997,1003.7683000000001,,,,,,,,,,,,,,,,9400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,340,,,44,206,,,,,,,,5,267,23,106,14,,,,,,,,,,,,,115,14,31,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,287826,
[8370],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s 113 [8370],THOLEIITE [8370],2000000 [8370],3000000 [8370],,PLIOCENE [8370],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8370] ,236802.571,8210.958,,83939.2086,,29444.739999999998,46715.729999999996,,63751.24,49208.064,1161.687,,1494.27,23294.3098,1003.7683000000001,,,,,,,,,,,,,,,,11100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,391,,,47,238,,,,,,,,5,261,20,99,11,,,,,,,,,,,,,123,15,32,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,287827,
[8370],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,,37.17,37.17,14.92,14.92,SUBAERIAL,,,s 120 [8370],THOLEIITE [8370],2000000 [8370],3000000 [8370],,PLIOCENE [8370],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8370] ,234932.831,8630.496,,86691.3138,,25248.34,51301.799999999996,,66181.22,45167.695999999996,1471.4702,,1162.21,24110.3525,1091.0525,,,,,,,,,,,,,,,,11200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,323,,,45,213,,,,,,,,2,270,24,107,13,,,,,,,,,,,,,133,18,39,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,287828,
