Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8000(KR4A) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,11539.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101250,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8000(KR4A) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,11124.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101251,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8000(KR4A) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,10127.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101252,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8000(KR4A) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,10874.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101253,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8258(KR4B) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,10874.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101254,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8258(KR4B) [2660],DACITE [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,10957.980000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101255,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / PRONKSBERG FORMATION,DRUMBO TYPE,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM8001(KR-28) [2660],BASALT [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,8135.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101256,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / BELMORE FORMATION,"STORMBERG AND EASTERN CAPE, BARKLY EAST",-30.97,-30.97,27.58,27.58,SUBAERIAL,,,s FM7652(CLA-01) [2660],BASALT [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,6226.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101257,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / BELMORE FORMATION,"STORMBERG AND EASTERN CAPE, BARKLY EAST",-30.97,-30.97,27.58,27.58,SUBAERIAL,,,s FM7652(CLA-01) [2660],BASALT [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,7222.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101258,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / BELMORE FORMATION,"STORMBERG AND EASTERN CAPE, BARKLY EAST",-30.97,-30.97,27.58,27.58,SUBAERIAL,,,s FM7652(CLA-01) [2660],BASALT [2660],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,9131.650000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101259,
