Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-85 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,246712.193,5513.928,,72877.8627,,,,92654.16,50457.82,41428.848,1781.2534,,1743.315,30638.6941,392.7789,,,,,,,,,,,,,,,,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,270,101,,,,90,,,13,,,,,4,80,20,69,3.1,,,,,,,,,,,,,174,3.93,9.8,1.44,7.04,2.2,0.81,2.83,0.5,3.37,0.76,2.26,0.32,2.13,0.31,1.66,0.05,,,,,,,,,,,0.61,,0.51266,,,,,,,,,,,,,,,,,,,,,,,,172106
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-86 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,228902.9195,7371.882,,74941.9416,,,,105712.8,68182.38,39197.6,1703.8076,,5395.975,14614.5829,480.0631,,,,,,,,,,,,,,,,22200,,,,,,,,,,,,,,,,,,,,,,,,,,,,7380,327,133,,,,84,,,17,,,,,13,180,24,87,4.8,,,,,,,,,,,,,232,4.63,12.03,1.82,8.82,2.72,0.99,3.67,0.62,4.25,0.93,2.82,0.42,2.7,0.4,2.23,0.05,,,,,,,,,,,0.47,,0.51263,,,,,,,,,,,,,,,,,,,,,,,,172107
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-95 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,233717.5,5034.456,,79969.8261,,,,83792.94,66467.1,44564.656,1239.1328,,4233.765,23739.424,305.4947,,,,,,,,,,,,,,,,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,287,359,,,,107,,,16,,,,,8,158,19,56,2,,,,,,,,,,,,,183,2.88,7.24,1.08,5.42,1.8,0.64,2.57,0.46,3.18,0.71,2.09,0.3,1.99,0.28,1.39,0.03,,,,,,,,,,,0.55,,0.51286,,,,,,,,,,,,,,,,,,,,,,,,172108
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,CYCLOPS PENINSULA,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C5-99 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,238532.0805,13605.018,,65309.5734,,,,133462.41,44668.75,20865.184,2245.9282,,7056.275,13575.9831,1265.6209,,,,,,,,,,,,,,,,34200,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,199,,,,,8,,,21,,,,,24,338,54,209,8.2,,,,,,,,,,,,,335,11.03,28.96,4.35,21.06,6.41,2.09,8.14,1.37,9.22,2.05,6.09,0.88,5.89,0.85,4.78,0.09,,,,,,,,,,,1.09,,0.51249,,,,,,,,,,,,,,,,,,,,,,,,172109
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-6B [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,214926.613,5394.06,,76582.6197,,,,87990.36,80832.57,52645.392,1626.3618,,664.12,12240.6405,261.8526,,,,,,,,,,,,,,,,27900,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5400,325,337,,,47,131,35,104,11,,,,,10,160,18,60,3,,,,,,,,,,,,,405,3.02,7.84,1.21,5.73,1.85,0.74,2.83,0.5,3.4,0.73,2.21,0.32,2.09,0.32,1.62,0.05,,,,,,,,,4,,0.26,,0.5128,,,,,,,,,,,,,,,,,,,,,,,,172110
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-11 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,224368.8,6472.872,,73936.3647,,,,95685.63,55460.72,42031.888,1626.3618,,9380.695,18101.3108,349.1368,,,,,,,,,,,,,,,,37400,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6480,359,193,,,49,65,108,89,12,,,,,29,125,22,71,3.4,,,,,,,,,,,,,608,4.12,10.35,1.53,7.73,2.53,0.84,3.41,0.58,4.05,0.88,2.59,0.38,2.56,0.39,1.9,0.05,,,,,,,,,1,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,172111
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-14 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,220535.833,8750.364,,75100.7169,,,,102603.6,64823.29,42092.192,1703.8076,,1328.24,18027.1251,523.7052,,,,,,,,,,,,,,,,21900,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8760,395,155,,,40,64,83,106,13,,,,,14,167,26,98,5.1,,,,,,,,,,,,,248,4.82,12.97,1.97,9.96,3.23,1.09,4.22,0.72,4.85,1.06,3.14,0.46,3.04,0.46,2.49,0.08,,,,,,,,,4,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,172112
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-20 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,222966.495,9949.044,,72930.7878,,,,97784.34,44811.69,41609.76,1548.916,,32126.805,13056.6832,654.6315,,,,,,,,,,,,,,,,53300,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9960,367,150,,,45,74,52,76,12,,,,,63,163,31,118,6.4,,,,,,,,,,,,,773,6.17,16.45,2.47,12.4,3.79,1.3,4.94,0.84,5.66,1.22,3.56,0.53,3.47,0.53,3.02,0.16,,,,,,,,,3,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,172113
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s L6-22 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,229604.072,8151.024,,74783.1663,,,,94675.14,49671.65,43057.056,1471.4702,,83.015,15727.3684,523.7052,,,,,,,,,,,,,,,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8160,300,147,,,48,104,61,112,13,,,,,8,142,25,98,5.2,,,,,,,,,,,,,196,5.05,13.47,2.01,10.09,3.17,0.96,4.03,0.67,4.54,1,2.89,0.42,2.84,0.43,2.65,0.07,,,,,,,,,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,172114
[5546],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION,,65.25,65.25,-113.53,-113.53,SUBAERIAL,,,s C7-101 [5546],THOLEIITE [5546],,,,ARCHEAN [5546],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5546] ,208943.445,7311.948,,81292.9536,,,,75786.75,66538.57,37207.568,2091.0366,,6724.215,18843.1678,261.8526,,,,,,,,,,,,,,,,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5160,304,297,,,61,124,98,102,15,,,,,30,120,19,55,5,,,,,,,,,,,,,374,3.17,8.06,1.22,5.86,1.9,0.76,2.48,0.47,3.03,0.69,1.97,0.3,1.92,0.33,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,172115
