,DM,Forsterit,
Si,20.97,19.95,wt%
Al,2.26,0,wt%
Cr,0.17,0,wt%
Mg,23.05,34.55,wt%
Fe,6.27,0,wt%
Ni,0.15,0,wt%
Ca,2.5,0,wt%
Na,0.22,0,wt%
La,0.0000234,0.00000022,wt%
Ce,0.0000772,0.00000043,wt%
Pr,0.0000131,0.0000001,wt%
Nd,0.0000713,0.00000037,wt%
Pm,1,1,
Sm,0.000027,0.000000079,wt%
Eu,0.0000107,0.000000036,wt%
Gd,0.0000395,0.0000003,wt%
Tb,0.0000075,0.000000041,wt%
Dy,0.0000531,0.0000004,wt%
Ho,0.0000122,0.000000122,wt%
Er,0.0000371,0.00000061,wt%
Tm,0.000006,0.000000134,wt%
Yb,0.0000401,0.0000014,wt%
Lu,0.0000063,0.00000033,wt%
