Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / SANGINA RIVER UNIT,,50.5,50.5,103,104,SUBAERIAL,,,s D-98/27 [10185],"BASALT, ALKALINE [10185]",600000 [10185],3000000 [10185],,NEOGENE [10185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,703,23,237,45.8,,,,,,,,,,,,,341,26.5,55.5,7.1,31.2,6.81,2.42,6.5,1.05,5.1,0.9,2.14,0.29,1.65,0.23,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,359297,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / SANGINA RIVER UNIT,,50.5,50.5,103,104,SUBAERIAL,,,s D-98-41 [10185],"BASALT, ALKALINE [10185]",600000 [10185],3000000 [10185],,NEOGENE [10185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054,,,16437,,,16007,,,,,,,,,,,,,,23,856,23,198,49.4,,,,,,,,,,,,,416,28,58.5,7.3,32.4,7.32,2.51,6.3,0.99,5,0.94,2.19,0.29,1.68,0.24,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,359298,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / SANGINA RIVER UNIT,,50.5,50.5,103,104,SUBAERIAL,,,s D-98/59 [10185],"BASALT, ALKALINE [10185]",600000 [10185],3000000 [10185],,NEOGENE [10185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,,,16271,,,16247,,,,,,,,,,,,,,18,850,24,194,49,,,,,,,,,,,,,359,29.5,61.5,7.7,32.3,7.46,2.43,6.8,1,4.8,0.89,2.24,0.32,1.52,0.22,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,359299,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97-2-6 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,732,23,192,50.2,,,,,,,,,,,,,372,30,62.6,7.3,30.9,6.94,2.23,6.3,0.92,4.5,0.8,1.97,0.25,1.4,0.2,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,359300,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97-8-1 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,811,23,196,50.7,,,,,,,,,,,,,362,28.4,60.6,7.1,32.2,7.03,2.27,6.3,0.93,4.8,0.82,2.07,0.26,1.37,0.2,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,359301,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97/1 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [10185],MINERAL / COMPONENT (INCL. GROUNDMASS) [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,,,,,359302,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97/1 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from CLINOPYROXENE [10185],MINERAL / COMPONENT (INCL. GROUNDMASS) [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,,,,359303,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97/2-2 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [10185],MINERAL / COMPONENT (INCL. GROUNDMASS) [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,,,,,359304,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97/2-2 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from CLINOPYROXENE [10185],MINERAL / COMPONENT (INCL. GROUNDMASS) [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,359305,
[10185],INTRAPLATE VOLCANICS,BAIKAL RIFT ZONE / WESTERN BAIKAL RIFT / DZHIDA VOLCANIC FIELD / DZHIDA RIVER UNIT,,50,50,103,104,SUBAERIAL,,,s D-97 2-4 [10185],"BASALT, ALKALINE [10185]",600000 [10185],1300000 [10185],,PLEISTOCENE [10185],,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [10185],MINERAL / COMPONENT (INCL. GROUNDMASS) [10185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,359306,
