Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SKOLAI GROUP - STATION CREEK FORMATION,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 36-MD-1 [5065],ANDESITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5065] ,273963.6535,10967.922,,87167.6397,,22380.800000000003,39175.92,,31303.86,8744.08,,,24406.41,43695.37729999999,829.1999000000001,,,,,,,,,,,,,,,,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.8,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,,,,,,,,119698,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SKOLAI GROUP - STATION CREEK FORMATION,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 39-MD-1 [5065],ANDESITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5065] ,261997.3175,1198.68,,89866.81980000001,,28675.399999999998,50213.58,,48814.01,11879.887999999999,,,17184.105,38057.2641,916.4841,,,,,,,,,,,,,,,,9400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,,,,,,,,119699,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SKOLAI GROUP - STATION CREEK FORMATION,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 55-MD-1 [5065],ANDESITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5065] ,274664.80600000004,9949.043999999998,,86373.7632,,25807.86,45161.13,,33805.310000000005,10673.807999999999,,,18927.42,35683.32169999999,741.9157,,,,,,,,,,,,,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,,,,,,,,,,,,,,,,,,,,,119700,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / BOCK^S BROCK STOCK,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 22-MD-3 [5065],GABBRO [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5065] ,251947.46500000003,9589.44,,91401.6477,,17624.88,49824.93,,62822.13,20322.448,,,10708.935,34644.7219,785.5577999999999,,,,,,,,,,,,,,,,-700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7041,,,,,,,,,,,,,,,,,,,,,119701,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / BOCK^S BROCK STOCK,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 24-MD-2 [5065],DIORITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5065] ,289248.77800000005,5334.126,,91295.7975,,12589.2,35755.799999999996,,27158.6,5427.36,,,27810.025,39689.3495,785.5577999999999,,,,,,,,,,,,,,,,-400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7043,,,,,,,,,,,,,,,,,,,,,119702,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / BOCK^S BROCK STOCK,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 29-MD-2 [5065],DIORITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5065] ,281115.40900000004,10068.911999999998,,87749.8158,,15037.099999999999,42673.770000000004,,36092.35,8382.256,,,16769.03,39540.9781,741.9157,,,,,,,,,,,,,,,,3700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119703,
[5065],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / BOCK^S BROCK STOCK,BOCK^S CREEK STOCK,61.17,61.23,-138.85,-139,SUBAERIAL,,,s 38-MD-1 [5065],DIORITE [5065],,,UPPER [5065],PALEOZOIC [5065],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5065] ,290510.85250000004,5214.258,,99816.7386,,10281.18,29071.02,,31375.329999999998,5668.575999999999,,,23327.215,34273.7934,654.6315,,,,,,,,,,,,,,,,15800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,,,,,,,,,,,,,,,,,,,,,119704,
[8364],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY,STIKINE TERRANE,57,57,-127.3,-127.3,SUBAERIAL,,,s 29 [8364],NOT GIVEN [8364],400000000 [8364],400000000 [8364],,PHANEROZOIC [8364],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8364] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,4.36,,,,,,,,,,,,,,,,,,,,,,,,0.512751,,,,,,,,,,,,,,,,,,,,,,,,228849,
[8364],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY,STIKINE TERRANE,57,57,-127.3,-127.3,SUBAERIAL,,,s 29 [8364],NOT GIVEN [8364],400000000 [8364],400000000 [8364],,PHANEROZOIC [8364],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8364] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.22,,,,,,,,,,,,,,,,,,,,,,,,0.512761,,,,,,,,,,,,,,,,,,,,,,,,228850,
[8364],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY,STIKINE TERRANE,57,57,-127.3,-127.3,SUBAERIAL,,,s 30 [8364],NOT GIVEN [8364],400000000 [8364],400000000 [8364],,PHANEROZOIC [8364],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8364] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1056,,,,,,,,,,,,,,,,,,,,11.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,0.512794,,,0.706667,,,,,,,,,,,,,,,,,,,,,228851,
